type,name,num_nodes,num_edges,gpn_num
bipartite,bipartite_8_nodes_181,8,10,54
bipartite,bipartite_8_nodes_182,8,11,59
bipartite,bipartite_9_nodes_1,9,8,45
bipartite,bipartite_9_nodes_2,9,8,45
bipartite,bipartite_9_nodes_3,9,8,45
bipartite,bipartite_9_nodes_4,9,9,52
bipartite,bipartite_9_nodes_5,9,8,45
bipartite,bipartite_9_nodes_6,9,8,45
bipartite,bipartite_9_nodes_7,9,9,56
bipartite,bipartite_9_nodes_8,9,10,58
bipartite,bipartite_9_nodes_9,9,8,45
bipartite,bipartite_9_nodes_10,9,8,45
bipartite,bipartite_9_nodes_11,9,9,58
bipartite,bipartite_9_nodes_12,9,10,64
bipartite,bipartite_9_nodes_13,9,11,63
bipartite,bipartite_9_nodes_14,9,10,66
bipartite,bipartite_9_nodes_15,9,11,69
bipartite,bipartite_9_nodes_16,9,12,67
bipartite,bipartite_9_nodes_17,9,12,71
bipartite,bipartite_9_nodes_18,9,13,70
bipartite,bipartite_9_nodes_19,9,14,72
bipartite,bipartite_9_nodes_20,9,8,45
bipartite,bipartite_9_nodes_21,9,8,45
bipartite,bipartite_9_nodes_22,9,8,45
bipartite,bipartite_9_nodes_23,9,9,52
bipartite,bipartite_9_nodes_24,9,8,45
bipartite,bipartite_9_nodes_25,9,9,52
bipartite,bipartite_9_nodes_26,9,8,45
bipartite,bipartite_9_nodes_27,9,8,45
bipartite,bipartite_9_nodes_28,9,8,45
bipartite,bipartite_9_nodes_29,9,9,55
bipartite,bipartite_9_nodes_30,9,9,58
bipartite,bipartite_9_nodes_31,9,10,58
bipartite,bipartite_9_nodes_32,9,8,45
bipartite,bipartite_9_nodes_33,9,9,52
bipartite,bipartite_9_nodes_34,9,8,45
bipartite,bipartite_9_nodes_35,9,9,56
bipartite,bipartite_9_nodes_36,9,10,58
bipartite,bipartite_9_nodes_37,9,8,45
bipartite,bipartite_9_nodes_38,9,9,56
bipartite,bipartite_9_nodes_39,9,10,62
bipartite,bipartite_9_nodes_40,9,10,66
bipartite,bipartite_9_nodes_41,9,11,63
bipartite,bipartite_9_nodes_42,9,9,58
bipartite,bipartite_9_nodes_43,9,10,64
bipartite,bipartite_9_nodes_44,9,11,63
bipartite,bipartite_9_nodes_45,9,11,66
bipartite,bipartite_9_nodes_46,9,12,67
bipartite,bipartite_9_nodes_47,9,11,69
bipartite,bipartite_9_nodes_48,9,12,67
bipartite,bipartite_9_nodes_49,9,13,70
bipartite,bipartite_9_nodes_50,9,9,52
bipartite,bipartite_9_nodes_51,9,10,58
bipartite,bipartite_9_nodes_52,9,8,45
bipartite,bipartite_9_nodes_53,9,8,45
bipartite,bipartite_9_nodes_54,9,9,52
bipartite,bipartite_9_nodes_55,9,9,51
bipartite,bipartite_9_nodes_56,9,10,59
bipartite,bipartite_9_nodes_57,9,8,45
bipartite,bipartite_9_nodes_58,9,9,53
