type,name,num_nodes,num_edges,gpn_num
triangle-free,tf_3_3_2_1_2_3_3_3,8,10,44
triangle-free,tf_3_3_3_3_2_2_4_4,8,12,70
triangle-free,tf_2_2_3_3_3_2_3_4,8,11,46
triangle-free,tf_2_2_2_2_3_3_3_3,8,10,50
triangle-free,tf_2_2_2_2_3_3_4_4,8,11,58
triangle-free,tf_4_3_3_2_2_3_3_4,8,12,65
triangle-free,tf_4_2_3_3_2_3_3_4,8,12,62
triangle-free,tf_3_3_3_2_2_3_3_3,8,11,59
triangle-free,tf_3_2_3_3_2_3_3_3,8,11,56
triangle-free,tf_3_3_3_3_2_3_3_4,8,12,65
